POST	api/v1/auto-dialer-campaigns/lists/{list}/upload	distribution-lists.upload	App\Http\Controllers\DistributionListController@upload	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/auto-dialer-campaigns/lists/{list}/validation-errors	distribution-lists.errors	App\Http\Controllers\DistributionListController@getValidationErrors	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/auto-dialer-campaigns/lists/{list}/versions	distribution-lists.versions	App\Http\Controllers\DistributionListController@getVersions	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/auto-dialer-campaigns/monitor/summary	auto-dialer-campaigns.monitor.summary	App\Http\Controllers\AutoDialerCampaignController@monitorSummary	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/auto-dialer-campaigns/{campaign}	auto-dialer-campaigns.show	App\Http\Controllers\AutoDialerCampaignController@show	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
PUT|PATCH	api/v1/auto-dialer-campaigns/{campaign}	auto-dialer-campaigns.update	App\Http\Controllers\AutoDialerCampaignController@update	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
DELETE	api/v1/auto-dialer-campaigns/{campaign}	auto-dialer-campaigns.destroy	App\Http\Controllers\AutoDialerCampaignController@destroy	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
PATCH	api/v1/auto-dialer-campaigns/{campaign}/archive	auto-dialer-campaigns.archive	App\Http\Controllers\AutoDialerCampaignController@archive	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/auto-dialer-campaigns/{campaign}/caller-id-stats	auto-dialer-campaigns.caller-id-stats	App\Http\Controllers\AutoDialerCampaignController@getCallerIdStats	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/auto-dialer-campaigns/{campaign}/concurrency	auto-dialer-campaigns.concurrency	App\Http\Controllers\AutoDialerCampaignController@concurrency	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
